Date,Close
1/2/2015 16:00:00,469.7
1/5/2015 16:00:00,448.48
1/6/2015 16:00:00,440.43
1/7/2015 16:00:00,439.52
1/8/2015 16:00:00,445.45
1/9/2015 16:00:00,444.82
1/12/2015 16:00:00,427.9
1/13/2015 16:00:00,418.25
1/14/2015 16:00:00,421.73
1/15/2015 16:00:00,424.45
1/16/2015 16:00:00,438.56
1/20/2015 16:00:00,439.02
1/21/2015 16:00:00,451.08
1/22/2015 16:00:00,450.18
1/23/2015 16:00:00,451.6
1/26/2015 16:00:00,452.5
1/27/2015 16:00:00,450.74
1/28/2015 16:00:00,438.98
1/29/2015 16:00:00,440.08
1/30/2015 16:00:00,442.55
2/2/2015 16:00:00,449.01
2/3/2015 16:00:00,455.76
2/4/2015 16:00:00,449.71
2/5/2015 16:00:00,457.21
2/6/2015 16:00:00,455.63
2/9/2015 16:00:00,449.87
2/10/2015 16:00:00,449.31
2/11/2015 16:00:00,441.52
2/12/2015 16:00:00,447.51
2/13/2015 16:00:00,451.4
2/17/2015 16:00:00,452.87
2/18/2015 16:00:00,450.18
2/19/2015 16:00:00,448.89
2/20/2015 16:00:00,454.6
2/23/2015 16:00:00,448.85
2/24/2015 16:00:00,448.77
2/25/2015 16:00:00,453.27
2/26/2015 16:00:00,443.73
2/27/2015 16:00:00,448.02
3/2/2015 16:00:00,441.34
3/3/2015 16:00:00,445.24
3/4/2015 16:00:00,442.84
3/5/2015 16:00:00,444.35
3/6/2015 16:00:00,436.72
3/9/2015 16:00:00,429.46
3/10/2015 16:00:00,429.76
3/11/2015 16:00:00,422.44
3/12/2015 16:00:00,420.34
3/13/2015 16:00:00,417.84
3/16/2015 16:00:00,415.94
3/17/2015 16:00:00,417.08
3/18/2015 16:00:00,426.41
3/19/2015 16:00:00,422.75
3/20/2015 16:00:00,424.77
3/23/2015 16:00:00,432.6
3/24/2015 16:00:00,426.62
3/25/2015 16:00:00,427.97
3/26/2015 16:00:00,428.21
3/27/2015 16:00:00,426.14
3/30/2015 16:00:00,430.49
3/31/2015 16:00:00,428.9
4/1/2015 16:00:00,428.32
4/2/2015 16:00:00,430.54
4/6/2015 16:00:00,432.77
4/7/2015 16:00:00,434.89
4/8/2015 16:00:00,434.08
